event-id,visible,timestamp,location-long,location-lat,algorithm-marked-outlier,argos:altitude,argos:best-level,argos:calcul-freq,argos:error-radius,argos:gdop,argos:iq,argos:lat1,argos:lat2,argos:lc,argos:lon1,argos:lon2,argos:nb-mes,argos:nb-mes-120,argos:nopc,argos:orientation,argos:pass-duration,argos:semi-major,argos:semi-minor,argos:sensor-1,argos:sensor-2,argos:sensor-3,argos:sensor-4,argos:valid-location-algorithm,argos:valid-location-manual,manually-marked-outlier,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
372402783,false,2014-05-13 17:58:47.000,-74.84699999999998,35.506,true,0.0,-126.0,401.6776947,,,"68",35.506,37.61,"0",-74.847,-64.515,9,0,2,,178.0,,,216,202,201,90,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402784,false,2014-05-13 19:38:09.000,,,true,0.0,-135.0,401.6776765,,,"00",,,"Z",,,1,0,,,,,,216,202,201,90,,,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402785,false,2014-05-13 20:32:57.000,-74.73000000000002,35.568,true,0.0,-127.0,401.6776765,,,"58",35.568,41.963,"0",-74.73,-43.098,8,0,4,,167.0,,,209,14,185,91,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402786,false,2014-05-13 22:14:40.000,-74.62400000000002,35.542,true,0.0,-128.0,401.6776529,,,"57",35.542,32.202,"0",-74.624,-90.558,7,0,2,,157.0,,,186,55,249,90,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402787,false,2014-05-14 00:14:03.000,-74.76099999999997,35.468,true,0.0,-122.0,401.6776584,,,"68",35.468,39.592,"1",-74.761,-96.091,9,0,2,,134.0,,,209,14,185,91,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402788,true,2014-05-14 01:33:24.000,-74.707,35.555,,0.0,-116.0,401.6776602,,,"68",35.555,38.702,"0",-74.707,-59.378,6,5,2,,89.0,,,216,37,137,91,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402789,true,2014-05-14 03:12:23.000,-74.80000000000001,35.551,,0.0,-122.0,401.6776764,,,"68",35.551,28.711,"0",-74.8,-107.039,5,0,2,,64.0,,,216,37,137,91,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402790,false,2014-05-14 08:13:34.000,-75.43399999999997,35.298,true,0.0,-136.0,401.677702,,,"68",35.298,39.837,"0",-75.434,-99.011,4,0,2,,52.0,,,216,202,201,90,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402791,false,2014-05-14 10:36:27.000,,,true,0.0,-134.0,401.6776718,,,"00",,,"Z",,,2,0,,,,,,177,107,249,91,,,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402792,true,2014-05-14 11:01:21.000,-74.74000000000001,35.537,,0.0,-130.0,401.6776463,,,"60",35.537,44.15,"0",-74.74,-117.636,6,0,2,,118.0,,,216,45,217,92,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402793,false,2014-05-14 11:26:57.000,-74.68899999999996,35.564,true,0.0,-120.0,401.6776718,,,"60",35.564,30.844,"1",-74.689,-97.711,7,1,2,,122.0,,,220,111,25,91,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402794,false,2014-05-14 13:54:20.000,-74.553,35.505,true,0.0,-124.0,401.6776718,,,"00",35.505,29.504,"B",-74.553,-44.913,2,0,2,,35.0,,,176,228,217,92,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402795,false,2014-05-14 16:28:13.000,,,true,0.0,-133.0,401.6776679,,,"00",,,"Z",,,1,0,,,,,,216,202,201,90,,,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402796,false,2014-05-14 16:29:00.000,-74.74400000000003,35.637,true,0.0,-129.0,401.6776679,,,"68",35.637,44.752,"0",-74.744,-119.655,8,0,4,,135.0,,,176,85,25,92,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402797,false,2014-05-14 21:52:55.000,-72.445,35.358,true,0.0,-128.0,401.6775922,,,"30",33.896,35.358,"Z",-80.277,-72.445,11,0,0,,174.0,,,209,6,57,93,"2",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402798,true,2014-05-15 01:10:38.000,-74.70100000000002,35.541,,0.0,-116.0,401.6776553,,,"56",35.541,40.601,"2",-74.701,-49.736,8,6,3,,251.0,,,216,45,217,92,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402799,true,2014-05-15 03:52:26.000,-74.678,35.543,,0.0,-134.0,401.6776569,,,"00",35.543,24.627,"B",-74.678,-126.963,2,0,2,,19.0,,,209,14,185,91,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402800,true,2014-05-15 09:07:06.000,-74.62200000000001,35.548,,0.0,-121.0,401.6776749,,,"58",35.548,33.301,"1",-74.622,-64.234,7,0,2,,127.0,,,185,73,169,92,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402801,false,2014-05-15 13:31:33.000,-74.54500000000002,35.494,true,0.0,-122.0,401.6776633,,,"58",35.494,27.474,"0",-74.545,-35.28,10,0,2,,178.0,,,223,54,41,92,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402802,true,2014-05-15 15:09:00.000,-74.64999999999998,35.533,,0.0,-117.0,401.6776889,,,"56",35.533,37.246,"1",-74.65,-82.952,9,5,3,,166.0,,,186,55,249,90,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402803,false,2014-05-15 16:20:52.000,-75.02499999999998,35.521,true,0.0,-134.0,401.6776889,,,"00",35.521,43.132,"B",-75.025,-113.173,2,0,2,,18.0,,,215,213,41,92,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402804,false,2014-05-16 01:47:02.000,-74.33299999999997,35.717,true,0.0,-127.0,401.6776738,,,"58",35.717,37.68,"0",-74.333,-64.66,5,0,2,,94.0,,,62,255,121,160,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402805,false,2014-05-16 03:39:21.000,,,true,0.0,-137.0,401.6776889,,,"00",,,"Z",,,1,0,,,,,,181,236,249,92,,,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402806,true,2014-05-16 07:48:01.000,-74.65100000000001,35.644,,0.0,-127.0,401.6776685,,,"00",35.644,38.65,"A",-74.651,-89.506,3,0,2,,74.0,,,176,228,217,92,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402807,true,2014-05-16 08:59:27.000,-74.56900000000002,35.641,,0.0,-124.0,401.6776564,,,"60",35.641,32.325,"1",-74.569,-58.787,4,0,2,,282.0,,,182,2,105,94,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402808,false,2014-05-16 09:35:33.000,-73.75,36.092,true,0.0,-136.0,401.6776109,,,"30",36.092,31.824,"Z",-73.75,-52.729,3,0,0,,39.0,,,212,26,73,92,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402809,false,2014-05-16 10:19:39.000,-75.043,35.622,true,0.0,-134.0,401.6776889,,,"00",35.622,36.806,"B",-75.043,-68.08,2,0,2,,62.0,,,209,69,94,121,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402810,true,2014-05-16 10:39:50.000,-74.54200000000003,35.606,,0.0,-127.0,401.6776446,,,"50",35.606,42.139,"0",-74.542,-106.817,7,0,2,,170.0,,,187,173,105,94,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402811,false,2014-05-16 19:13:39.000,-74.709,35.638,true,0.0,-126.0,401.6776656,,,"50",35.638,30.963,"0",-74.709,-96.543,6,0,2,,216.0,,,48,117,144,196,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402812,false,2014-05-16 20:15:12.000,-74.702,35.54,true,0.0,-127.0,401.6776735,,,"50",35.54,37.093,"0",-74.702,-66.829,8,0,2,,208.0,,,62,254,73,90,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402813,true,2014-05-16 21:58:15.000,-74.61900000000003,35.574,,0.0,-130.0,401.6776679,,,"00",35.574,27.086,"B",-74.619,-114.579,2,0,2,,141.0,,,177,111,249,91,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402814,false,2014-05-16 22:37:41.000,-74.72699999999998,35.607,true,0.0,-124.0,401.6776679,,,"50",35.607,29.731,"1",-74.727,-103.189,12,0,1,,388.0,,,190,47,248,204,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402815,false,2014-05-16 22:38:08.000,-74.666,35.627,true,0.0,-125.0,401.6776623,,,"56",35.627,30.8,"1",-74.666,-51.135,15,0,3,,443.0,,,0,1,97,106,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402816,false,2014-05-17 00:19:22.000,-74.71800000000002,35.633,true,0.0,-123.0,401.677663,,,"58",35.633,40.265,"0",-74.718,-98.745,6,0,2,,111.0,,,62,254,73,90,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402817,true,2014-05-17 01:25:18.000,-74.52999999999997,35.687,,0.0,-129.0,401.6776679,,,"00",35.687,39.69,"B",-74.53,-55.194,2,0,2,,18.0,,,62,254,73,90,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402818,false,2014-05-17 03:24:24.000,,,true,0.0,-137.0,401.6776679,,,"00",,,"Z",,,1,0,,,,,,189,105,89,94,,,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402819,false,2014-05-17 07:28:10.000,-57.918000000000006,10.001,true,0.0,-133.0,401.6793576,,,"30",10.001,21.825,"Z",-57.918,-118.441,3,0,0,,35.0,,,62,254,73,90,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402820,false,2014-05-17 09:57:32.000,-74.88900000000001,35.504,true,0.0,-129.0,401.6776086,,,"68",35.504,39.967,"0",-74.889,-52.308,6,0,2,,96.0,,,180,213,9,94,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402821,false,2014-05-17 10:21:24.000,-74.30000000000001,35.671,true,0.0,-130.0,401.6776914,,,"58",35.671,41.495,"0",-74.3,-101.828,7,0,2,,134.0,,,180,227,185,98,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402822,false,2014-05-17 10:52:19.000,-73.76400000000001,35.259,true,0.0,-127.0,401.6777268,,,"30",35.259,38.317,"Z",-73.764,-88.856,4,0,0,,71.0,,,223,112,89,97,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402823,false,2014-05-17 14:08:10.000,-74.64499999999998,35.772,true,0.0,-130.0,401.6776722,,,"50",35.772,31.398,"0",-74.645,-54.296,8,0,2,,245.0,,,213,31,57,97,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
372402824,true,2014-05-17 15:19:40.000,-74.45600000000002,35.715,,0.0,-130.0,401.6776712,,,"50",35.715,38.515,"0",-74.456,-88.243,6,0,2,,177.0,,,189,125,233,96,"1",,,"argos-doppler-shift","Ziphius cavirostris","102465","ZcTag029","Cuvier's beaked whale CRC NW Atlantic"
