DeployID,Ptt,Instr,RecordType,MsgCount,Duplicates,Corrupt,AvgInterval,MinInterval,Date,Satellite,LocationQuality,Latitude,Longitude,Latitude2,Longitude2,IQ,Duration,Frequency,Power
ZcTag029,102465,Mk10,DS,4,0,0,27,15,2014-05-13 15:06:56,NL,Z,35.8507,-71.1143,37.3839,-80.0465,30,,401677611,-131
ZcTag029,102465,Mk10,DS,5,0,0,20,15,2014-05-13 15:06:56,MB,0,35.5356,-74.7763,36.4994,-79.5946,50,,401677677,-126
ZcTag029,102465,Mk10,DS,4,0,0,27,15,2014-05-13 15:07:37,L,,,,,,,,,-131
ZcTag029,102465,Mk10,DS,5,0,0,20,15,2014-05-13 15:07:05,B,,,,,,,,,-131
ZcTag029,102465,Mk10,DS,3,0,2,44,33,2014-05-13 16:37:11,NL,A,35.5138,-74.5131,46.3419,-126.6059,6,,401677745,-134
ZcTag029,102465,Mk10,DS,3,0,2,44,33,2014-05-13 16:37:11,L,A,35.514,-74.513,,,6,,401677745,-134
ZcTag029,102465,Mk10,DS,9,3,3,,,2014-05-13 17:58:47,NP,0,35.5064,-74.847,37.6099,-64.5149,68,,401677694,-126
ZcTag029,102465,Mk10,DS,9,3,3,,,2014-05-13 17:58:47,P,0,35.506,-74.847,,,68,,401677695,-126
ZcTag029,102465,Mk10,DS,1,0,1,,,2014-05-13 19:38:09,NP,,,,,,,,401677676,-135
ZcTag029,102465,Mk10,DS,1,0,1,,,2014-05-13 19:38:09,P,,,,,,,,,
ZcTag029,102465,Mk10,DS,8,1,3,,,2014-05-13 20:32:57,NK,0,35.5682,-74.7301,41.9634,-43.098,58,,401677676,-127
ZcTag029,102465,Mk10,DS,8,1,3,,,2014-05-13 20:32:57,K,0,35.568,-74.73,,,58,,401677677,-127
ZcTag029,102465,Mk10,DS,7,0,6,26,16,2014-05-13 22:14:40,NK,0,35.5423,-74.6236,32.1712,-90.6142,57,,401677652,-128
ZcTag029,102465,Mk10,DS,7,0,5,26,16,2014-05-13 22:14:40,K,0,35.542,-74.624,,,57,,401677653,-128
ZcTag029,102465,Mk10,DS,9,0,2,16,15,2014-05-14 00:14:03,SR,1,35.4676,-74.7606,,,68,,401677658,-122
ZcTag029,102465,Mk10,DS,9,0,2,16,15,2014-05-14 00:14:03,R,1,35.468,-74.761,,,68,,401677658,-122
ZcTag029,102465,Mk10,DS,6,0,3,17,15,2014-05-14 01:33:24,MA,0,35.5554,-74.7065,38.7021,-59.3778,68,,401677660,-116
ZcTag029,102465,Mk10,DS,6,0,3,17,15,2014-05-14 01:33:24,A,0,35.555,-74.707,,,68,,401677660,-116
ZcTag029,102465,Mk10,DS,5,0,2,16,15,2014-05-14 03:12:23,MA,0,35.5509,-74.7998,28.7108,-107.0391,68,,401677676,-122
ZcTag029,102465,Mk10,DS,5,0,2,16,15,2014-05-14 03:12:23,A,0,35.551,-74.8,,,68,,401677676,-122
ZcTag029,102465,Mk10,DS,4,0,2,17,16,2014-05-14 08:13:34,NP,0,35.2976,-75.4345,39.8365,-99.0112,68,,401677702,-136
ZcTag029,102465,Mk10,DS,4,0,2,17,16,2014-05-14 08:13:34,P,0,35.298,-75.434,,,68,,401677702,-136
ZcTag029,102465,Mk10,DS,1,0,1,,,2014-05-14 10:36:27,NK,,,,,,,,401677676,-134
ZcTag029,102465,Mk10,DS,1,0,1,,,2014-05-14 10:36:27,K,,,,,,,,,
ZcTag029,102465,Mk10,DS,6,0,2,23,15,2014-05-14 11:01:21,NN,0,35.5368,-74.7396,44.1496,-117.6364,60,,401677646,-130
ZcTag029,102465,Mk10,DS,6,0,2,23,15,2014-05-14 11:01:21,N,0,35.537,-74.74,,,60,,401677646,-130
ZcTag029,102465,Mk10,DS,7,0,3,20,15,2014-05-14 11:26:57,SR,1,35.5641,-74.6886,30.8438,-97.7107,60,,401677671,-120
ZcTag029,102465,Mk10,DS,7,0,3,20,15,2014-05-14 11:26:57,R,1,35.564,-74.689,,,60,,401677672,-120
ZcTag029,102465,Mk10,DS,2,0,0,35,35,2014-05-14 13:54:20,MA,B,35.505,-74.5532,29.5041,-44.9125,,,401677671,-124
ZcTag029,102465,Mk10,DS,2,0,0,35,35,2014-05-14 13:54:20,A,B,35.505,-74.553,,,,,401677672,-124
